FOREIGN ID CANONICAL REPAIR AUDIT V2
foreign_no_epg=191 safe=6 review=3 unmatched=182

SAFE REPAIRS
- mena-eg | Al.Saeedah.ae -> AlSaeedah.eg@SD | score=0.947 variants=base events=42
- [NO_CANONICAL_MATCH] mena-lb | Al.Mayadeen.HD.ae -> Al Jadeed TV.eg | score=0.700 variants=base/base
- [NO_CANONICAL_MATCH] mena-lb | Beirut.Aflam.ae -> LBCInternational.lb@SD | score=0.357 variants=base/base
- [NO_CANONICAL_MATCH] mena-lb | Beirut.Alyoom.ae -> LBCInternational.lb@SD | score=0.345 variants=base/base
- [NO_CANONICAL_MATCH] mena-lb | Beirut.Cinema.ae -> LBCInternational.lb@SD | score=0.414 variants=cinema/base
- [NO_CANONICAL_MATCH] mena-lb | Beirut.Drama.ae -> Aghani Aghani.sa | score=0.320 variants=drama/base
- [NO_CANONICAL_MATCH] mena-lb | Nabaa.TV.ae -> LanaTV.lb@SD | score=0.364 variants=base/base
- [NO_CANONICAL_MATCH] mena-lb | Nour.Koddass.ae -> Al Jadeed TV.eg | score=0.286 variants=base/base
- [NO_CANONICAL_MATCH] mena-lb | Noursat.TV.ae -> LanaTV.lb@SD | score=0.462 variants=base/base
- [NO_CANONICAL_MATCH] mena-lb | Suboro.TV.ae -> MTV.lb@SD | score=0.235 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Afaq.TV.ae -> AlIraqia.iq@SD | score=0.500 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Al.Anbar.ae -> Al.Sumaria.TV.ae | score=0.556 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Al.Ayyam.TV.ae -> Al.Iraqiya.HD.ae | score=0.667 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Al.Eshraq.TV.ae -> Al.Sharqiya.TV.HD.ae | score=0.700 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Al.Fallujah.TV.ae -> Al.Sumaria.TV.ae | score=0.500 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Al.Forat.ae -> Al.Sumaria.TV.ae | score=0.556 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Al.Iraqiya.Kurd.ae -> Al.Iraqiya.HD.ae | score=0.800 variants=kurd/base
- [NO_CANONICAL_MATCH] mena-iq | Al.Iraqiya.Sport.HD.ae -> Al.Iraqiya.News.HD.ae | score=0.774 variants=sport/news
- [NO_CANONICAL_MATCH] mena-iq | Al.Iraqiya.Turkuman.ae -> Al.Iraqiya.News.HD.ae | score=0.706 variants=turkuman/news
- [NO_CANONICAL_MATCH] mena-iq | Al.Kafeel.ae -> Al.Rasheed.TV.HD.ae | score=0.632 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Al.Naeem.TV.ae -> Al.Rasheed.TV.HD.ae | score=0.667 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Al.Najaf.Al.Ashraf.TV.ae -> Al.Sharqiya.TV.HD.ae | score=0.483 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Al.Salam.TV.ae -> Al.Sumaria.TV.ae | score=0.667 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Alahad.TV.HD.ae -> Alrasheed.eg | score=0.667 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Alghadeer.TV.ae -> Alrasheed.eg | score=0.556 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Alshaaer.TV.ae -> Al.Sharqiya.TV.HD.ae | score=0.632 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Altaleaa.TV.ae -> AlIraqia.iq@SD | score=0.500 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Amozhgary.TV.ae -> Al.Sharqiya.TV.HD.ae | score=0.500 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Baghdad.TV.ae -> Iraq.Al.Hadath.ae | score=0.381 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Bangawaz.TV.ae -> AlIraqia.iq@SD | score=0.375 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Gali.Kurdistan.HD.ae -> AlIraqia.iq@SD | score=0.545 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Imam.Hussein.TV.2.ae -> Al.Rasheed.TV.HD.ae | score=0.333 variants=num:2/base
- [NO_CANONICAL_MATCH] mena-iq | Iraq.24.HD.ae -> AlIraqia.iq@SD | score=0.533 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Iraq.Future.TV.ae -> Iraq.Al.Hadath.ae | score=0.480 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Iraq.Now.ae -> AlIraqia.iq@SD | score=0.500 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Karbala.TV.HD.ae -> AlIraqia.iq@SD | score=0.400 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Kirkuk.TV.ae -> AlIraqia.iq@SD | score=0.286 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Kurdistan.TV.ae -> Alsumaria.eg | score=0.444 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | KurdMax.HD.ae -> Alsumaria.eg | score=0.375 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Kurdsat.ae -> DijlahTV.iq@SD | score=0.400 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Kurdsat.News.HD.ae -> Al.Iraqiya.News.HD.ae | score=0.519 variants=news/news
- [NO_CANONICAL_MATCH] mena-iq | Manu.Chat.ae -> Iraq.Al.Hadath.ae | score=0.435 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | NRT.2.HD.ae -> AlRasheedTV.iq@SD | score=0.250 variants=num:2/base
- [NO_CANONICAL_MATCH] mena-iq | NRT.HD.ae -> UTV.iq@SD | score=0.333 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Payam.TV.ae -> Al.Iraqiya.HD.ae | score=0.400 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Rûdaw.TV.HD.ae -> Dijlah TV.eg | score=0.364 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Speda.HD.ae -> Alrasheed.eg | score=0.429 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Türkmeneli.TV.HD.ae -> Alrasheed.eg | score=0.316 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | UTV.Iraq.ae -> Al.Iraqiya.HD.ae | score=0.556 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | VOA.IRAQ.ae -> Al.Iraqiya.HD.ae | score=0.667 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Waar.HD.ae -> Alsumaria.eg | score=0.462 variants=base/base
- [NO_CANONICAL_MATCH] mena-iq | Zagros.ae -> Alrasheed.eg | score=0.400 variants=base/base
- [NO_CANONICAL_MATCH] mena-ps | Al.Quds.Today.TV.ae -> Palestine.Sport.ae | score=0.357 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ps | Athan.Tulkarem.ae -> Palestine.Sport.ae | score=0.345 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ps | Falastini.TV.ae -> Palestine.Sport.ae | score=0.500 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ps | falestinona.TV.ae -> Palestine.Sport.ae | score=0.615 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ps | Hebron.Sat.ae -> Palestine.Sport.ae | score=0.400 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ps | Musawa.HD.ae -> Palestine.Sport.ae | score=0.095 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ps | Palestine.Edu.HD.ae -> Palestine.Sport.ae | score=0.714 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ps | Palestine.HD.ae -> Palestine.Sport.ae | score=0.750 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ps | Palestine.Live.HD.ae -> Palestine.Sport.ae | score=0.690 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ps | Palestine.News.ae -> Palestine.Sport.ae | score=0.759 variants=news/sport
- [NO_CANONICAL_MATCH] mena-ps | Palestine.Quraan.ae -> Palestine.Sport.ae | score=0.710 variants=quran/sport
- [NO_CANONICAL_MATCH] mena-ps | Palestine.Quran.2.ae -> Palestine.Sport.ae | score=0.688 variants=num:2/quran/sport
- [NO_CANONICAL_MATCH] mena-ps | Palestine.Today.ae -> Palestine.Sport.ae | score=0.733 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ps | Voice.Of.Palestine.ae -> Palestine.Sport.ae | score=0.545 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ps | Wadi.Al-Neil.&.Palestine.ae -> Palestine.Sport.ae | score=0.486 variants=base/sport
- [NO_CANONICAL_MATCH] mena-ye | Aden.TV.ae -> HadhramautTV.ye@SD | score=0.250 variants=base/base
- [NO_CANONICAL_MATCH] mena-ye | Al.Hawyah.ae -> Al.Sahat.TV.ae | score=0.588 variants=base/base
- [NO_CANONICAL_MATCH] mena-ye | Allahdhah.TV.ae -> Al.Sahat.TV.ae | score=0.588 variants=base/base
- [NO_CANONICAL_MATCH] mena-ye | Almasirah.TV.ae -> Al.Sahat.TV.ae | score=0.588 variants=base/base
- [NO_CANONICAL_MATCH] mena-ye | Almasirah.TV.Mubasher.ae -> Al.Sahat.TV.ae | score=0.462 variants=base/base
- [NO_CANONICAL_MATCH] mena-ye | Reef.AlYemen.ae -> HadhramautTV.ye@SD | score=0.250 variants=base/base
- [NO_CANONICAL_MATCH] mena-ye | Sheba.TV.ae -> Al.Sahat.TV.ae | score=0.462 variants=base/base
- [NO_CANONICAL_MATCH] mena-ye | Suhail.TV.ae -> Al.Sahat.TV.ae | score=0.429 variants=base/base
- [NO_CANONICAL_MATCH] mena-ye | Yemen.Documentary.ae -> HadhramautTV.ye@SD | score=0.207 variants=documentary/base
- [NO_CANONICAL_MATCH] mena-ye | Yemen.Education.ae -> Al.Sahat.TV.ae | score=0.261 variants=base/base
- [NO_CANONICAL_MATCH] mena-ye | Yemen.Shabab.ae -> Al.Sahat.TV.ae | score=0.400 variants=base/base
- [NO_CANONICAL_MATCH] mena-ye | Yemen.Today.TV.ae -> Al.Sahat.TV.ae | score=0.211 variants=base/base
- [NO_CANONICAL_MATCH] mena-ye | Yemen.TV.ae -> HadhramautTV.ye@SD | score=0.118 variants=base/base
- [NO_CANONICAL_MATCH] mena-dz | Al.Djazair.N°1.ae -> Echorouk TV.eg | score=0.091 variants=num:1/base
- [NO_CANONICAL_MATCH] mena-dz | Algérie.3.HD.ae -> Echorouk TV.eg | score=0.235 variants=num:3/base
- [NO_CANONICAL_MATCH] mena-dz | Algérie.4.ae -> Echorouk TV.eg | score=0.235 variants=num:4/base
- [NO_CANONICAL_MATCH] mena-dz | Algérie.5.ae -> Echorouk TV.eg | score=0.235 variants=num:5/base
- [NO_CANONICAL_MATCH] mena-dz | Algérie.6.HD.ae -> Echorouk TV.eg | score=0.235 variants=num:6/base
- [NO_CANONICAL_MATCH] mena-dz | Algérie.7.ae -> Echorouk TV.eg | score=0.235 variants=num:7/base
- [NO_CANONICAL_MATCH] mena-dz | Algérie.8.HD.ae -> Echorouk TV.eg | score=0.235 variants=num:8/base
- [NO_CANONICAL_MATCH] mena-dz | Bahia.TV.ae -> Echorouk TV.eg | score=0.154 variants=base/base
- [NO_CANONICAL_MATCH] mena-dz | Canal.Algerie.ae -> Echorouk TV.eg | score=0.190 variants=base/base
- [NO_CANONICAL_MATCH] mena-dz | Echorouk.News.ae -> Echorouk TV.eg | score=0.762 variants=news/base
- [NO_CANONICAL_MATCH] mena-dz | El.Hayat.TV.ae -> EchoroukTV.dz@SD | score=0.333 variants=base/base
- [NO_CANONICAL_MATCH] mena-dz | Ennahar.TV.ae -> Echorouk TV.eg | score=0.400 variants=base/base
- [NO_CANONICAL_MATCH] mena-dz | Zahra.TV.ae -> Echorouk TV.eg | score=0.308 variants=base/base
- [NO_CANONICAL_MATCH] mena-tn | Tunisia.Nat.1.ae -> Nessma.eg | score=0.316 variants=num:1/base
- [NO_CANONICAL_MATCH] mena-tn | Tunisia.Nat.2.ae -> Nessma.eg | score=0.316 variants=num:2/base
- [NO_CANONICAL_MATCH] mena-tn | Zaytoona.ae -> NessmaElJadida.tn@SD | score=0.182 variants=base/base
- [NO_CANONICAL_MATCH] mena-ly | Al.Jamahiriya.TV.ae -> <none> | score=0.000 variants=base/base
- [NO_CANONICAL_MATCH] mena-ly | Libya.Al.Ahrar.HD.ae -> <none> | score=0.000 variants=base/base
- [NO_CANONICAL_MATCH] mena-ly | Libya.Al.Hedaya.ae -> <none> | score=0.000 variants=base/base
- [NO_CANONICAL_MATCH] mena-ly | Libya.Alhadath.HD.ae -> <none> | score=0.000 variants=base/base
- [NO_CANONICAL_MATCH] mena-ly | Libya.Alrasmia.Channel.ae -> <none> | score=0.000 variants=base/base
- [NO_CANONICAL_MATCH] mena-ly | Libya.Future.TV.HD.ae -> <none> | score=0.000 variants=base/base
- [NO_CANONICAL_MATCH] mena-ly | Libya.Ifta.TV.ae -> <none> | score=0.000 variants=base/base
- [NO_CANONICAL_MATCH] mena-ly | Libya.Sport.2.HD.ae -> <none> | score=0.000 variants=num:2/sport/base
- [NO_CANONICAL_MATCH] mena-ly | Libya.Sport.ae -> <none> | score=0.000 variants=sport/base
- [NO_CANONICAL_MATCH] mena-sd | Khartoum.TV.ae -> Sudan.TV.ae | score=0.154 variants=base/base
- [NO_CANONICAL_MATCH] mena-sd | Shamalia.TV.ae -> Sudan.TV.ae | score=0.308 variants=base/base
- [NO_CANONICAL_MATCH] mena-sd | Tayba.TV.ae -> Sudan.TV.ae | score=0.200 variants=base/base
- [NO_CANONICAL_MATCH] mena-sy | Halab.Today.TV.ae -> Althania.sy@SD | score=0.316 variants=base/base
- [NO_CANONICAL_MATCH] mena-sy | Syria.One.TV.ae -> Althania.sy@SD | score=0.235 variants=base/base
- [NO_CANONICAL_MATCH] mena-sy | Syria.TV.HD.ae -> Althania.sy@SD | score=0.308 variants=base/base
- [NO_CANONICAL_MATCH] mena-mr | Albarlemania.al.Mauritania.TV.ae -> <none> | score=0.000 variants=base/base
